ID,State,Population
06,California,39144818
48,Texas,27469114
12,Florida,20271272
36,New York,19795791
17,Illinois,12859995
42,Pennsylvania,12802503
39,Ohio,11613423
13,Georgia,10214860
37,North Carolina,10042802
26,Michigan,9922576
34,New Jersey,8958013
51,Virginia,8382993
53,Washington,7170351
04,Arizona,6828065
25,Massachusetts,6794422
18,Indiana,6619680
47,Tennessee,6600299
29,Missouri,6083672
24,Maryland,6006401
55,Wisconsin,5771337
27,Minnesota,5489594
08,Colorado,5456574
45,South Carolina,4896146
01,Alabama,4858979
22,Louisiana,4670724
21,Kentucky,4425092
41,Oregon,4028977
40,Oklahoma,3911338
09,Connecticut,3590886
19,Iowa,3123899
49,Utah,2995919
28,Mississippi,2992333
05,Arkansas,2978204
20,Kansas,2911641
32,Nevada,2890845
35,New Mexico,2085109
31,Nebraska,1896190
54,West Virginia,1844128
16,Idaho,1654930
15,Hawaii,1431603
33,New Hampshire,1330608
23,Maine,1329328
44,Rhode Island,1056298
30,Montana,1032949
10,Delaware,945934
46,South Dakota,858469
38,North Dakota,756927
02,Alaska,738432
50,Vermont,626042
56,Wyoming,586107
11,DC,649165